Customer ID,Season
1,Winter
2,Winter
3,Spring
4,Spring
5,Spring
6,Summer
7,Fall
8,Winter
9,Summer
10,Spring
11,Fall
12,Winter
13,Winter
14,Spring
15,Winter
16,Winter
17,Spring
18,Winter
19,Summer
20,Summer
21,Winter
22,Winter
23,Summer
24,Winter
25,Fall
26,Summer
27,Spring
28,Summer
29,Fall
30,Fall
31,Winter
32,Winter
33,Summer
34,Summer
35,Spring
36,Summer
37,Winter
38,Summer
39,Winter
40,Summer
41,Winter
42,Spring
43,Spring
44,Fall
45,Summer
46,Fall
47,Summer
48,Winter
49,Summer
50,Spring
51,Spring
52,Winter
53,Summer
54,Winter
55,Summer
56,Winter
57,Summer
58,Summer
59,Summer
60,Spring
61,Summer
62,Winter
63,Spring
64,Winter
65,Fall
66,Spring
67,Winter
68,Winter
69,Summer
70,Summer
71,Fall
72,Summer
73,Winter
74,Spring
75,Spring
76,Summer
77,Summer
78,Summer
79,Spring
80,Winter
81,Summer
82,Summer
83,Spring
84,Summer
85,Spring
86,Winter
87,Spring
88,Fall
89,Fall
90,Fall
91,Summer
92,Winter
93,Winter
94,Fall
95,Spring
96,Fall
97,Spring
98,Winter
99,Spring
100,Summer
101,Fall
102,Spring
103,Winter
104,Winter
105,Spring
106,Fall
107,Summer
108,Winter
109,Spring
110,Spring
111,Summer
112,Summer
113,Spring
114,Winter
115,Summer
116,Spring
117,Spring
118,Summer
119,Fall
120,Fall
121,Summer
122,Winter
123,Spring
124,Fall
125,Spring
126,Winter
127,Spring
128,Winter
129,Spring
130,Summer
131,Fall
132,Summer
133,Fall
134,Winter
135,Fall
136,Fall
137,Winter
138,Spring
139,Winter
140,Fall
141,Fall
142,Fall
143,Fall
144,Fall
145,Fall
146,Fall
147,Fall
148,Summer
149,Fall
150,Summer
151,Fall
152,Fall
153,Summer
154,Winter
155,Fall
156,Spring
157,Fall
158,Fall
159,Fall
160,Fall
161,Summer
162,Fall
163,Summer
164,Summer
165,Spring
166,Winter
167,Fall
168,Fall
169,Summer
170,Summer
171,Fall
172,Summer
173,Summer
174,Fall
175,Winter
176,Fall
177,Spring
178,Fall
179,Fall
180,Fall
181,Fall
182,Summer
183,Summer
184,Spring
185,Spring
186,Summer
187,Summer
188,Spring
189,Spring
190,Fall
191,Fall
192,Fall
193,Summer
194,Fall
195,Spring
196,Fall
197,Summer
198,Fall
199,Winter
200,Summer
201,Summer
202,Fall
203,Spring
204,Fall
205,Fall
206,Winter
207,Summer
208,Summer
209,Spring
210,Winter
211,Fall
212,Fall
213,Fall
214,Fall
215,Summer
216,Spring
217,Spring
218,Winter
219,Spring
220,Spring
221,Spring
222,Summer
223,Spring
224,Spring
225,Summer
226,Spring
227,Spring
228,Winter
229,Spring
230,Spring
231,Fall
232,Spring
233,Winter
234,Fall
235,Summer
236,Winter
237,Winter
238,Summer
239,Fall
240,Summer
241,Winter
242,Winter
243,Summer
244,Winter
245,Spring
246,Summer
247,Spring
248,Spring
249,Winter
250,Fall
251,Fall
252,Winter
253,Summer
254,Winter
255,Winter
256,Spring
257,Spring
258,Summer
259,Spring
260,Fall
261,Winter
262,Winter
263,Summer
264,Summer
265,Fall
266,Spring
267,Summer
268,Spring
269,Spring
270,Winter
271,Fall
272,Summer
273,Summer
274,Spring
275,Spring
276,Winter
277,Fall
278,Winter
279,Spring
280,Summer
281,Fall
282,Spring
283,Summer
284,Fall
285,Summer
286,Summer
287,Summer
288,Spring
289,Winter
290,Fall
291,Winter
292,Fall
293,Spring
294,Spring
295,Spring
296,Winter
297,Spring
298,Summer
299,Winter
300,Summer
301,Spring
302,Spring
303,Summer
304,Summer
305,Winter
306,Fall
307,Summer
308,Winter
309,Fall
310,Spring
311,Winter
312,Winter
313,Spring
314,Spring
315,Summer
316,Spring
317,Fall
318,Fall
319,Winter
320,Spring
321,Summer
322,Summer
323,Winter
324,Winter
325,Summer
326,Winter
327,Fall
328,Summer
329,Fall
330,Summer
331,Winter
332,Fall
333,Winter
334,Winter
335,Fall
336,Spring
337,Fall
338,Winter
339,Winter
340,Spring
341,Summer
342,Summer
343,Spring
344,Summer
345,Winter
346,Winter
347,Spring
348,Fall
349,Fall
350,Winter
351,Spring
352,Winter
353,Fall
354,Fall
355,Fall
356,Fall
357,Spring
358,Spring
359,Summer
360,Winter
361,Summer
362,Spring
363,Fall
364,Winter
365,Summer
366,Summer
367,Spring
368,Spring
369,Spring
370,Summer
371,Winter
372,Winter
373,Summer
374,Summer
375,Spring
376,Summer
377,Fall
378,Spring
379,Winter
380,Fall
381,Fall
382,Winter
383,Winter
384,Fall
385,Fall
386,Fall
387,Spring
388,Summer
389,Summer
390,Spring
391,Winter
392,Spring
393,Spring
394,Fall
395,Spring
396,Winter
397,Fall
398,Fall
399,Winter
400,Fall
401,Winter
402,Fall
403,Fall
404,Winter
405,Spring
406,Summer
407,Spring
408,Spring
409,Spring
410,Winter
411,Spring
412,Summer
413,Summer
414,Summer
415,Winter
416,Winter
417,Spring
418,Fall
419,Spring
420,Winter
421,Spring
422,Winter
423,Fall
424,Spring
425,Winter
426,Winter
427,Winter
